"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"3524907";"Jambeiro (SP)";"Total";"3487";"1463";"44";"26";"-";"209";"338";"-";"-"
"MU";"3525003";"Jandira (SP)";"Total";"41723";"37713";"738";"1395";"24";"7166";"13191";"-";"7"
"MU";"3525102";"Jardinópolis (SP)";"Total";"21836";"11590";"806";"360";"-";"1892";"3005";"-";"-"
"MU";"3525201";"Jarinu (SP)";"Total";"19751";"8149";"460";"373";"-";"1863";"1622";"46";"84"
"MU";"3525300";"Jaú (SP)";"Total";"77664";"30385";"2085";"798";"54";"2939";"4436";"11";"281"
"MU";"3525409";"Jeriquara (SP)";"Total";"1543";"972";"325";"14";"-";"167";"244";"-";"32"
"MU";"3525508";"Joanópolis (SP)";"Total";"7392";"2751";"122";"205";"-";"308";"518";"-";"11"
"MU";"3525607";"João Ramalho (SP)";"Total";"2225";"1286";"12";"-";"-";"173";"80";"-";"-"
"MU";"3525706";"José Bonifácio (SP)";"Total";"21753";"8661";"402";"144";"-";"483";"712";"-";"58"
"MU";"3525805";"Júlio Mesquita (SP)";"Total";"2025";"1261";"27";"3";"-";"100";"265";"-";"4"
"MU";"3525854";"Jumirim (SP)";"Total";"1744";"794";"9";"26";"-";"26";"14";"-";"-"
"MU";"3525904";"Jundiaí (SP)";"Total";"233018";"87227";"13000";"5044";"59";"22688";"32834";"71";"423"
"MU";"3526001";"Junqueirópolis (SP)";"Total";"11535";"5273";"255";"128";"33";"391";"597";"-";"50"
"MU";"3526100";"Juquiá (SP)";"Total";"4921";"7317";"110";"6";"-";"781";"1734";"-";"42"
"MU";"3526209";"Juquitiba (SP)";"Total";"11438";"8041";"379";"291";"-";"849";"2646";"-";"32"
"MU";"3526308";"Lagoinha (SP)";"Total";"3932";"512";"18";"4";"-";"52";"74";"3";"-"
"MU";"3526407";"Laranjal Paulista (SP)";"Total";"15996";"4774";"147";"59";"-";"606";"1532";"-";"17"
"MU";"3526506";"Lavínia (SP)";"Total";"4408";"2907";"148";"94";"-";"537";"1047";"-";"49"
"MU";"3526605";"Lavrinhas (SP)";"Total";"4345";"1440";"23";"22";"-";"125";"202";"-";"-"
"MU";"3526704";"Leme (SP)";"Total";"51596";"22532";"1246";"678";"20";"3357";"6649";"-";"29"
"MU";"3526803";"Lençóis Paulista (SP)";"Total";"31614";"20766";"657";"71";"-";"2273";"3063";"-";"31"
"MU";"3526902";"Limeira (SP)";"Total";"137756";"87493";"4243";"1292";"40";"9279";"18158";"142";"115"
"MU";"3527009";"Lindóia (SP)";"Total";"4133";"1231";"101";"92";"-";"222";"423";"-";"-"
"MU";"3527108";"Lins (SP)";"Total";"33513";"23440";"1818";"351";"-";"3750";"3115";"13";"109"
"MU";"3527207";"Lorena (SP)";"Total";"48099";"20252";"1064";"889";"-";"1683";"2684";"23";"12"
"MU";"3527256";"Lourdes (SP)";"Total";"1021";"458";"127";"9";"-";"20";"87";"-";"12"
"MU";"3527306";"Louveira (SP)";"Total";"25701";"11804";"895";"120";"-";"1779";"4153";"-";"95"
"MU";"3527405";"Lucélia (SP)";"Total";"11199";"5323";"306";"46";"-";"384";"860";"-";"-"
"MU";"3527504";"Lucianópolis (SP)";"Total";"1118";"793";"15";"2";"-";"48";"137";"-";"4"
"MU";"3527603";"Luís Antônio (SP)";"Total";"5619";"3542";"37";"52";"-";"451";"917";"5";"25"
