uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
PR;Guaraqueçaba;-25.3004374744;-48.3260489326;6400;33.234;52.797;0.469;0.031;0.547;0.594;12.25;0.016;0.062
PR;Guaratuba;-25.874241975;-48.5757259604;36330;49.791;33.152;1.863;1.206;0.0;7.074;6.914;0.0;0.0
PR;Honório Serpa;-26.142966207;-52.3830290562;4215;86.145;11.839;0.0;0.0;0.0;1.423;0.593;0.0;0.0
PR;Ibaiti;-23.849821485;-50.1906662736;25145;60.943;31.708;0.219;0.151;0.0;2.756;4.184;0.0;0.04
PR;Ibema;-25.1128670712;-53.0231216934;5308;78.429;19.103;0.641;0.0;0.0;0.603;1.225;0.0;0.0
PR;Ibiporã;-23.269331475;-51.058033674;45195;61.852;30.711;0.387;0.117;0.0;2.584;4.348;0.0;0.0
PR;Icaraíma;-23.396711428;-53.6255701623;7869;74.088;20.485;0.127;0.051;0.0;2.58;2.478;0.0;0.191
PR;Iguaraçu;-23.1947806087;-51.8247742046;4604;53.975;38.705;0.434;0.239;0.065;1.803;4.778;0.0;0.0
PR;Iguatu;-24.7112618444;-53.0860050754;1923;82.839;14.509;0.572;0.0;0.104;0.416;1.56;0.0;0.0
PR;Imbaú;-24.4427970837;-50.7493089935;11894;61.064;31.411;0.16;0.891;0.101;2.875;3.413;0.0;0.084
PR;Imbituva;-25.2306130382;-50.5974729665;25523;63.582;33.993;0.063;0.509;0.0;0.592;1.226;0.0;0.035
PR;Inácio Martins;-25.572162687;-51.0749452987;8242;72.689;22.313;0.133;0.061;0.704;1.104;2.803;0.097;0.097
PR;Inajá;-22.7491161251;-52.2023437503;2223;62.213;29.06;0.675;0.0;0.0;0.945;7.108;0.0;0.0
PR;Indianópolis;-23.4797105012;-52.7010569082;3901;80.082;17.226;0.128;0.0;0.0;1.538;1.025;0.0;0.0
PR;Ipiranga;-25.0130228282;-50.5812401344;12149;86.056;11.919;0.313;0.0;0.0;1.235;0.477;0.0;0.0
PR;Iporã;-24.0025804985;-53.7180991714;13665;71.387;24.252;0.124;0.0;0.0;1.303;2.817;0.0;0.117
PR;Iracema do Oeste;-24.4290304153;-53.3581105552;2078;84.456;14.533;0.337;0.0;0.0;0.337;0.337;0.0;0.0
PR;Irati;-25.4737362989;-50.6580481228;51909;79.813;14.082;0.668;0.665;0.0;2.154;2.568;0.0;0.05
PR;Iretama;-24.4211415594;-52.1015766223;9316;80.775;15.586;0.311;0.408;0.0;1.02;1.9;0.0;0.0
PR;Itaguajé;-22.6147826757;-51.9693404489;3865;76.429;20.414;0.0;0.0;0.0;1.734;1.423;0.0;0.0
PR;Itaipulândia;-25.138480651;-54.3050007423;9824;67.915;26.16;0.051;0.0;0.397;0.916;4.499;0.0;0.061
PR;Itambaracá;-23.0147685089;-50.4090904668;5245;70.353;23.165;0.057;0.0;0.0;1.907;4.519;0.0;0.0
PR;Itambé;-23.6600985811;-51.9900043143;5449;78.271;17.233;0.239;0.037;0.0;1.927;2.294;0.0;0.0
PR;Itapejara d'Oeste;-25.9708780516;-52.8139296045;10655;84.702;12.464;0.141;0.235;0.0;1.417;1.042;0.0;0.0
PR;Itaperuçu;-25.214469525;-49.3428643437;26276;54.772;33.38;0.027;0.209;0.008;3.22;8.114;0.0;0.27
PR;Itaúna do Sul;-22.7268769277;-52.8850248105;3123;68.236;22.991;0.448;0.192;0.0;2.722;5.411;0.0;0.0
PR;Ivaí;-25.0082625825;-50.8614257041;11347;82.357;14.057;0.141;0.0;0.0;2.459;0.872;0.0;0.115
PR;Ivaiporã;-24.24194802;-51.6745520468;29019;68.741;24.339;0.41;0.1;0.0;2.016;4.363;0.0;0.031
PR;Ivaté;-23.409588874;-53.3738794058;5989;79.212;17.315;0.0;0.083;0.0;1.102;2.288;0.0;0.0
PR;Ivatuba;-23.6182744113;-52.217669279;2425;58.186;38.227;0.0;0.577;0.124;0.412;2.474;0.0;0.0
PR;Jaboti;-23.7357406012;-50.0734525499;4792;71.327;23.811;0.334;0.188;0.0;0.647;3.694;0.0;0.0
PR;Jacarezinho;-23.160116475;-49.9785725343;34952;67.481;24.954;0.687;0.137;0.04;1.868;4.832;0.0;0.0
PR;Jaguapitã;-23.1177827566;-51.5406168454;13030;60.737;30.898;0.629;0.269;0.0;3.361;4.068;0.0;0.038
