Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,Ílhavo,Voto nulo,315
2026 - 2.ª volta,Mealhada,Voto nulo,130
2026 - 2.ª volta,Murtosa,Voto nulo,64
2026 - 2.ª volta,Oliveira de Azeméis,Voto nulo,612
2026 - 2.ª volta,Oliveira do Bairro,Voto nulo,170
2026 - 2.ª volta,Ovar,Voto nulo,472
2026 - 2.ª volta,São João da Madeira,Voto nulo,193
2026 - 2.ª volta,Sever do Vouga,Voto nulo,120
2026 - 2.ª volta,Vagos,Voto nulo,201
2026 - 2.ª volta,Vale de Cambra,Voto nulo,278
2026 - 2.ª volta,Aljustrel,Voto nulo,92
2026 - 2.ª volta,Almodôvar,Voto nulo,57
2026 - 2.ª volta,Alvito,Voto nulo,23
2026 - 2.ª volta,Barrancos,Voto nulo,7
2026 - 2.ª volta,Beja,Voto nulo,299
2026 - 2.ª volta,Castro Verde,Voto nulo,56
2026 - 2.ª volta,Cuba,Voto nulo,30
2026 - 2.ª volta,Ferreira do Alentejo,Voto nulo,48
2026 - 2.ª volta,Mértola,Voto nulo,50
2026 - 2.ª volta,Moura,Voto nulo,66
2026 - 2.ª volta,Odemira,Voto nulo,203
2026 - 2.ª volta,Ourique,Voto nulo,58
2026 - 2.ª volta,Serpa,Voto nulo,112
2026 - 2.ª volta,Vidigueira,Voto nulo,37
2026 - 2.ª volta,Amares,Voto nulo,150
2026 - 2.ª volta,Barcelos,Voto nulo,1118
2026 - 2.ª volta,Braga,Voto nulo,1755
2026 - 2.ª volta,Cabeceiras de Basto,Voto nulo,212
2026 - 2.ª volta,Celorico de Basto,Voto nulo,141
2026 - 2.ª volta,Esposende,Voto nulo,357
2026 - 2.ª volta,Fafe,Voto nulo,487
2026 - 2.ª volta,Guimarães,Voto nulo,1286
2026 - 2.ª volta,Póvoa de Lanhoso,Voto nulo,175
2026 - 2.ª volta,Terras de Bouro,Voto nulo,50
2026 - 2.ª volta,Vieira do Minho,Voto nulo,93
2026 - 2.ª volta,Vila Nova de Famalicão,Voto nulo,1261
2026 - 2.ª volta,Vila Verde,Voto nulo,384
2026 - 2.ª volta,Vizela,Voto nulo,167
